# 10 requests per config

prompt_size,concurrency,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,e2e_p50_s,e2e_p90_s,e2e_p99_s,throughput_tok_s
short,1,58.3,58.5,58.5,45.3,45.3,45.3,11.61,11.61,11.61,220.5
short,5,148.9,166.7,167.3,47.7,47.8,47.8,12.32,12.34,12.34,207.7
short,10,182.0,184.3,185.2,49.4,49.5,49.5,12.79,12.79,12.79,200.3
medium,1,57.9,58.2,58.3,45.3,45.3,45.3,11.62,11.62,11.62,220.4
medium,5,142.0,160.9,161.9,47.9,47.9,47.9,12.35,12.37,12.37,207.3
medium,10,177.4,180.8,181.1,49.4,49.4,49.4,12.76,12.76,12.77,200.9
long,1,61.8,62.0,62.1,45.4,45.4,45.4,11.65,11.65,11.65,219.8
long,5,152.7,179.3,180.5,48.5,48.5,48.6,12.53,12.55,12.55,204.3
long,10,200.5,203.5,205.3,50.4,50.4,50.4,13.05,13.05,13.05,196.4

turn,prompt_tokens,completion_tokens,ttft_ms,tpot_ms,e2e_s,tok_s
1,29,256,58.8,45.3,11.61,22.0
2,310,256,65.9,45.3,11.62,22.0
3,587,256,65.9,45.4,11.64,22.0
4,872,256,68.5,45.4,11.65,22.0
5,1156,256,70.3,45.4,11.65,22.0

gpu_used_mb,gpu_total_mb
44690,46068
