# 10 requests per config

prompt_size,concurrency,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,e2e_p50_s,e2e_p90_s,e2e_p99_s,throughput_tok_s
short,1,59.1,59.9,59.9,46.3,46.3,46.3,11.86,11.86,11.86,215.8
short,5,151.3,169.4,170.3,49.4,49.4,49.4,12.74,12.76,12.76,200.9
short,10,186.2,189.3,190.5,50.2,50.2,50.3,12.99,12.99,12.99,197.2
medium,1,59.2,59.3,59.4,46.4,46.4,46.4,11.89,11.89,11.89,215.3
medium,5,145.7,165.1,165.3,49.6,49.6,49.6,12.79,12.81,12.81,200.2
medium,10,180.3,183.4,185.5,50.7,50.7,50.7,13.11,13.11,13.11,195.5
long,1,63.3,63.6,64.2,46.6,46.6,46.6,11.94,11.94,11.94,214.5
long,5,157.6,206.9,207.0,50.3,50.4,50.4,12.99,13.04,13.04,197.0
long,10,204.3,206.6,208.3,51.7,51.7,51.7,13.39,13.39,13.39,191.4

turn,prompt_tokens,completion_tokens,ttft_ms,tpot_ms,e2e_s,tok_s
1,29,256,65.3,46.3,11.86,21.6
2,310,256,67.7,46.4,11.90,21.5
3,587,256,67.0,46.5,11.91,21.5
4,872,256,70.6,46.5,11.94,21.4
5,1156,256,72.1,46.6,11.95,21.4

gpu_used_mb,gpu_total_mb
44074,46068
