# 10 requests per config

prompt_size,concurrency,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,e2e_p50_s,e2e_p90_s,e2e_p99_s,throughput_tok_s
short,1,55.5,55.6,55.7,7.5,12.9,25.0,1.98,3.34,6.43,1002.6
short,5,107.2,122.1,123.4,15.9,17.7,17.7,4.16,4.65,4.65,593.7
short,10,136.1,138.8,139.9,11.1,11.1,11.3,2.96,2.97,2.97,863.8
medium,1,55.9,56.2,56.2,8.5,9.6,10.4,2.23,2.51,2.72,1103.4
medium,5,113.1,114.8,114.9,23.0,26.9,27.1,5.97,6.98,6.98,429.1
medium,10,126.3,129.0,130.7,11.6,11.6,11.8,3.07,3.08,3.08,832.9
long,1,60.4,60.6,60.7,9.8,12.0,17.2,2.56,3.13,4.46,912.0
long,5,122.6,125.3,126.3,10.8,11.6,11.8,2.87,3.08,3.08,894.2
long,10,146.0,149.8,151.3,11.5,11.6,11.8,3.09,3.09,3.10,828.1

turn,prompt_tokens,completion_tokens,ttft_ms,tpot_ms,e2e_s,tok_s
1,29,256,58.3,42.2,10.83,23.6
2,310,256,66.0,42.4,10.87,23.5
3,587,256,61.2,40.5,10.39,24.6
4,872,256,68.6,39.9,10.24,25.0
5,1156,256,70.0,33.9,8.71,29.4

gpu_used_mb,gpu_total_mb
43968,46068
